openml_id,modelo,n_train,n_test,n_classes,treino_time_sec,infer_time_sec,mean_auc_ovo,mean_accuracy,mean_cross_entropy,cv_accuracy_mean,cv_accuracy_std,best_params,best_score_cv
11,realmlp,437,188,3,1.4423794746398926,0.0010046958923339844,0.9981080519171939,0.973404255319149,0.12169585429653323,0.9656746968981262,0.00011133786508996126,,
11,lightgbm,437,188,3,0.0854339599609375,0.004507541656494141,0.9147331373073153,0.8670212765957447,0.3577534635881029,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.8626043142812155
11,xgboost,437,188,3,0.1798546314239502,0.004002809524536133,0.8913377290682823,0.8617021276595744,0.36863573734702576,,,"{'learning_rate': 0.1, 'n_estimators': 200}",0.8511415525114154
11,catboost,437,188,3,0.0769340991973877,0.002365589141845703,0.9161766016216699,0.9042553191489362,0.34179157758291195,,,"{'iterations': 100, 'learning_rate': 0.1}",0.8924106439930718
15,realmlp,489,210,2,1.829826831817627,0.009648323059082031,0.9681964573268922,0.9523809523809523,0.17122340330550184,0.9672801635991819,0.0028920522747915888,,
15,lightgbm,489,210,2,0.032239437103271484,0.003609895706176758,0.9922504025764896,0.9428571428571428,0.1898707933593363,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9734151329243353
15,xgboost,489,210,2,0.03253889083862305,0.0019991397857666016,0.9905394524959742,0.9523809523809523,0.15270209063794082,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9734151329243353
15,catboost,489,210,2,0.2380375862121582,0.0020482540130615234,0.9913446054750402,0.9619047619047619,0.11866388175377098,,,"{'iterations': 200, 'learning_rate': 0.01}",0.9795501022494887
18,realmlp,1400,600,10,7.402254819869995,0.003003835678100586,0.9544182098765432,0.7333333333333333,0.7011653373513538,0.7121384786464605,0.004673827347646736,,
18,lightgbm,1400,600,10,0.6253409385681152,0.021435022354125977,0.9634043209876543,0.715,0.6922834884234207,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.7178747246755077
18,xgboost,1400,600,10,1.0856437683105469,0.005999565124511719,0.9644783950617286,0.7383333333333333,0.8180992989396713,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.7178701295518529
18,catboost,1400,600,10,0.809485912322998,0.0034935474395751953,0.9654228395061727,0.72,0.6066459280915206,,,"{'iterations': 100, 'learning_rate': 0.1}",0.7307196269984958
23,realmlp,1031,442,3,7.5056610107421875,0.003860950469970703,0.6600777512651151,0.5384615384615384,1.2766311559145975,0.4694470811580446,0.015428044753316753,,
23,lightgbm,1031,442,3,0.20772075653076172,0.008834362030029297,0.7136360964138743,0.5135746606334841,0.9271211873355283,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.5169785522182294
23,xgboost,1031,442,3,0.12710785865783691,0.0030002593994140625,0.7115489158626414,0.5339366515837104,0.9467756434731904,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.5305642190430989
23,catboost,1031,442,3,0.15800189971923828,0.019249916076660156,0.7210228124171479,0.5497737556561086,0.9218375840767382,,,"{'iterations': 100, 'learning_rate': 0.1}",0.5160039098695957
29,realmlp,483,207,2,2.7340407371520996,0.003723621368408203,0.8555765595463137,0.7874396135265701,0.49825184504969217,0.7846790890269152,0.002927978390006414,,
29,lightgbm,483,207,2,0.03163647651672363,0.007017850875854492,0.8908317580340265,0.8357487922705314,0.48732238344207146,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8778467908902691
29,xgboost,483,207,2,0.12952923774719238,0.00450587272644043,0.8821833648393194,0.8260869565217391,0.47645694704861885,,,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8881987577639752
29,catboost,483,207,2,0.5764520168304443,0.16210389137268066,0.892296786389414,0.8164251207729468,0.41589144381544035,,,"{'iterations': 100, 'learning_rate': 0.1}",0.8654244306418221
31,realmlp,700,300,2,4.431370973587036,0.004424095153808594,0.6568783068783068,0.63,0.8508379847344095,0.672933250186469,0.04495372879528023,,
31,lightgbm,700,300,2,0.06428384780883789,0.006224870681762695,0.7459788359788361,0.71,0.5273007576632883,,,"{'learning_rate': 0.01, 'n_estimators': 200}",0.7428805497475025
